Timestamp,X-Axis,Y-Axis,Z-Axis
0.0,-250,-77,-6
0.1,-203,-73,-12
0.2,-249,-48,13
0.3,-372,-99,64
0.4,-490,-98,47
0.5,-162,-92,-34
0.6,65,40,56
0.7,-79,-19,-125
0.8,-512,-109,184
0.9,-291,-29,-46
1.0,-149,-92,15
1.1,-273,-84,42
1.2,-196,-63,12
1.3,-225,-71,47
1.4,-242,-96,-31
1.5,-199,-37,51
1.6,-308,-29,81
1.7,-468,-114,254
1.8,-512,-151,97
1.9,115,-23,-244
2.0,-62,3,-43
2.1,-9,-14,-11
2.2,-512,-215,101
2.3,-298,-196,183
2.4,-66,-67,4
2.5,-203,-46,-13
2.6,-379,-117,10
2.7,-183,-49,-59
2.8,-173,-58,14
2.9,-250,-31,97
3.0,-354,-105,64
3.1,-512,-150,248
3.2,-29,1,-237
3.3,-38,55,41
3.4,37,60,-136
3.5,-113,-82,-17
3.6,-512,-254,243
3.7,-366,-58,-33
3.8,-80,-54,34
3.9,-357,-129,12
4.0,-277,-66,-5
4.1,-208,-92,-8
4.2,-291,-100,-38
4.3,-231,2,149
4.4,-425,-54,214
4.5,-504,-146,359
4.6,-199,-6,-191
4.7,-31,-39,511
4.8,54,5,-53
4.9,-70,-56,69
5.0,-491,114,-225
5.1,-396,-111,-28
5.2,-40,-51,1
5.3,-205,-126,50
5.4,-193,-87,23
5.5,-230,-79,-1
5.6,-187,-80,-20
5.7,-179,-49,100
5.8,-409,-71,27
5.9,-460,-210,357
6.0,-200,-146,-93
6.1,118,-152,511
6.2,-83,42,-23
6.3,-70,-36,-73
6.4,-512,-317,430
6.5,27,-109,87
6.6,1,-62,49
6.7,-285,-101,-33
6.8,-245,-114,88
6.9,-102,-84,68
7.0,-302,-109,110
7.1,-198,-82,-36
7.2,-72,-33,-8
7.3,-379,-76,41
7.4,-512,-211,253
7.5,-126,-134,-148
7.6,-133,-10,478
7.7,53,48,-87
7.8,-151,-18,-13
7.9,-512,-512,511
8.0,-138,-298,301
8.1,61,-67,85
8.2,-267,-98,8
8.3,-278,-181,151
8.4,-115,-111,67
8.5,-274,-145,47
8.6,-177,-85,-30
8.7,-136,-14,75
8.8,-366,-87,76
8.9,-511,-256,435
9.0,-209,-175,-376
9.1,-379,-320,511
9.2,31,77,-118
9.3,-133,-5,-41
9.4,-258,-60,-72
9.5,-512,-177,-130
9.6,-350,-76,-52
9.7,-184,-59,44
9.8,-238,-92,42
9.9,-238,-110,28
10.0,-219,-105,18
10.1,-293,-164,11
10.2,-177,-92,34
10.3,-179,-34,17
10.4,-403,-147,124
10.5,-512,-258,501
10.6,-154,-67,-275
10.7,-24,-134,511
10.8,138,61,-104
10.9,-50,-3,68
11.0,-512,-286,-40
11.1,-238,-221,42
11.2,-131,-33,90
11.3,-267,-86,-10
11.4,-292,-105,-80
11.5,-181,-99,-41
11.6,-247,-129,32
11.7,-229,-127,14
11.8,-182,-123,18
11.9,-195,-108,11
12.0,-80,6,8
12.1,-255,-82,47
12.2,-512,-296,253
12.3,-430,-231,17
12.4,170,-120,170
12.5,4,-8,-254
12.6,-42,9,65
12.7,-12,-52,-3
12.8,-512,-252,-177
12.9,-385,-58,-35
13.0,85,-1,-9
13.1,-225,-113,109
13.2,-230,-100,53
13.3,-220,-93,22
13.4,-275,-158,20
13.5,-274,-64,-82
13.6,-186,-87,-44
13.7,-163,-32,232
13.8,-512,-167,-17
13.9,-492,-330,331
14.0,323,43,-512
14.1,-82,0,-267
14.2,25,40,59
14.3,-39,27,-12
14.4,-310,-177,161
14.5,-194,-265,96
14.6,-212,-73,-75
14.7,-170,-78,60
14.8,-348,-204,114
14.9,-122,-85,-24
15.0,-180,-125,139
15.1,-225,-131,6
15.2,-177,-54,-45
15.3,-204,-16,184
15.4,-427,-170,250
15.5,-512,-242,511
15.6,-512,-371,-512
15.7,-99,-124,155
15.8,-29,26,216
15.9,-24,64,35
16.0,-40,10,-53
16.1,-512,-512,511
16.2,-64,-318,242
16.3,9,-100,119
16.4,-229,-51,-35
16.5,-259,-122,-60
16.6,-171,-84,20
16.7,-175,-78,-143
16.8,-102,-69,15
16.9,-212,-54,310
17.0,-512,-33,232
17.1,-256,-425,511
17.2,-407,-273,-512
17.3,-124,-29,-243
17.4,-168,72,-226
17.5,-105,-29,-39
17.6,55,-33,-126
17.7,-512,-365,397
17.8,-113,-257,169
17.9,-55,-6,-86
18.0,-49,-112,-183
18.1,-247,-178,157
18.2,-168,-91,-46
18.3,-260,-113,-42
18.4,-236,-80,64
18.5,-158,-25,285
18.6,-508,-154,-45
18.7,-496,-458,511
18.8,321,159,-512
18.9,64,64,-352
19.0,-9,34,129
19.1,-19,78,-35
19.2,-108,-72,-35
19.3,-409,-512,-240
19.4,-324,-119,119
19.5,-55,-8,-3
19.6,-300,-233,138
19.7,-127,-42,-24
19.8,-270,-135,281
19.9,-177,-31,259
20.0,-494,-162,500
20.1,-468,-111,372
20.2,254,-105,-512
20.3,54,-131,-184
20.4,9,50,-2
20.5,-117,64,-27
20.6,-205,-42,5
20.7,-512,-441,511
20.8,-512,-302,254
20.9,-15,-54,101
21.0,68,-57,-19
21.1,-187,-148,-26
21.2,-12,-28,-44
21.3,-168,-16,134
21.4,-207,13,511
21.5,-352,-132,393
21.6,-293,-308,511
21.7,415,-237,-512
21.8,231,-253,485
21.9,-19,46,-40
22.0,-90,54,-6
22.1,-26,-18,-91
22.2,-512,-409,-58
22.3,50,-360,213
22.4,-148,-40,141
22.5,-276,-13,-94
22.6,-244,-203,176
22.7,-51,-64,-112
22.8,-29,11,358
22.9,-189,44,131
23.0,-512,-404,216
23.1,-255,-243,-87
23.2,-443,-190,511
23.3,144,137,160
23.4,-90,-92,-29
23.5,-32,-14,42
23.6,-292,-237,-61
23.7,-512,-332,5
23.8,-59,67,14
23.9,-166,-252,-72
24.0,-188,-93,91
24.1,-140,-5,30
24.2,-190,-89,230
24.3,-512,-171,224
24.4,-357,-349,423
24.5,327,-51,-512
24.6,-15,-5,-307
24.7,-104,28,-4
24.8,-1,-7,3
24.9,-77,-80,-66
25.0,-512,-512,511
25.1,-376,-93,18
25.2,237,-50,-73
25.3,-247,-195,280
25.4,-205,-179,36
25.5,-180,-26,-28
25.6,-113,-57,266
25.7,-363,-100,326
25.8,-512,-482,409
25.9,-476,-267,-293
26.0,-512,-205,511
26.1,13,8,305
26.2,4,-36,5
26.3,73,-52,-81
26.4,-261,-426,23
26.5,-11,-377,83
26.6,-190,-12,1
26.7,-89,-94,-101
26.8,-448,-279,16
26.9,-82,-122,-37
27.0,-190,-89,28
27.1,-138,-62,294
27.2,-419,-250,376
27.3,-382,-349,288
27.4,-491,-509,-372
27.5,-512,-267,511
27.6,74,68,-12
27.7,9,-77,-168
27.8,-124,-70,-148
27.9,-512,-512,511
28.0,-357,-171,147
28.1,6,80,-64
28.2,-145,-148,124
28.3,-130,-203,15
28.4,-177,-68,41
28.5,-169,-15,246
28.6,-368,-102,376
28.7,-512,-512,457
28.8,-290,-171,-512
28.9,-424,-290,511
